x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,start,state,trial
9,1,0.9,0.1,10,8,0.1,0.9,26,0,8,2
10,2,0.7,0.3,9,7,0.3,0.7,25,0,7,2
10,3,0.2,0.8,5,2,0.8,0.2,15,0,5,2
10,1,0.3,0.7,4,3,0.7,0.3,17,0,10,2
8,1,0.6,0.4,7,5,0.1,0.9,18,0,12,3
12,4,0.7,0.3,11,9,0.3,0.7,28,0,18,3
9,2,0.4,0.6,5,3,0.9,0.1,14,0,10,3
11,2,0.3,0.7,5,4,0.7,0.3,20,0,15,3
7,1,0.7,0.3,6,5,0.2,0.8,16,0,6,2
11,4,0.5,0.5,9,3,0.75,0.25,19,0,11,2
13,4,0.3,0.7,7,6,0.7,0.3,23,0,14,3
2,1,0.1,0.9,5,6,0.2,0.8,15,0,10,3
3,4,0.8,0.2,10,12,0.7,0.3,14,0,4,2
